id,name,neighbourhood_cleansed,room_type,price,minimum_nights,number_of_reviews,review_scores_rating,latitude,longitude,availability_365,calculated_host_listings_count
1314021276095220607,oolena | Amazing Loft w/private terrace,Cuauhtémoc,Entire home/apt,2083.0,2.0,36,4.94,19.41190727576676,-99.15729313068849,138,22
1314147300933052835,descanso planta baja 15,Azcapotzalco,Private room,969.0,1.0,29,4.86,19.4798944,-99.2025444,361,9
1314253209833214456,Lindo Dormitorio de Cuba,Cuauhtémoc,Entire home/apt,671.46,3.0,30,4.8,19.437181610436628,-99.1377578577794,168,6
1314469946949281850,w* | Delightful 2BR w/ Amazing Pool in Cuauhtémoc,Cuauhtémoc,Entire home/apt,2749.5,1.0,64,4.81,19.4344442,-99.1536723,343,128
1314495550073311363,Linda habitación con baño privado en Roma Norte,Cuauhtémoc,Private room,1053.0,1.0,35,4.89,19.41495238815312,-99.1552016349439,129,1
1314643821192578431,oolena | Elegant Apt in La Roma Norte,Cuauhtémoc,Entire home/apt,1992.5,2.0,28,4.82,19.4118668,-99.1572073,156,22
1314707015244722676,Jazmín (Casa Amarilla),Miguel Hidalgo,Private room,480.0,1.0,79,4.87,19.4469343,-99.1923896,348,8
1314710778506278367,Sierra Vista: 5-story Modern Townhome,Álvaro Obregón,Entire home/apt,9781.84,2.0,13,4.77,19.332966949121637,-99.23113019199111,338,1
1314725882152397110,Departamento completo en Condesa,Cuauhtémoc,Entire home/apt,4565.0,1.0,19,4.84,19.404188678995155,-99.17112510519205,345,1
1314738308956138409,Lavanda (Casa Amarilla),Miguel Hidalgo,Private room,480.0,1.0,99,4.85,19.4469343,-99.1923896,335,8
1314745961229507059,Orquídea (Casa Amarilla),Miguel Hidalgo,Private room,480.0,1.0,120,4.86,19.4469343,-99.1923896,354,8
1303308382464293911,Templo Divino,Iztacalco,Private room,584.0,1.0,17,4.82,19.402819916431746,-99.13497085551327,359,1
1303573598631304356,Hermosa casa un oasis dentro de la ciudad.,Tlalpan,Entire home/apt,4500.0,1.0,17,5.0,19.2849108,-99.2108554,277,3
1303590021469958101,VH | Minimalist Loft + Washing Room & Gym | 258,Cuauhtémoc,Entire home/apt,1673.14,1.0,7,4.43,19.4039131,-99.1710255,267,25
1303640895800219645,Prime location in Roma,Cuauhtémoc,Entire home/apt,1610.59,2.0,10,4.9,19.4101,-99.16432,162,11
1303740490594681466,Suite Deluxe Plus frente a la Condesa,Miguel Hidalgo,Private room,1300.0,1.0,108,4.69,19.4067096,-99.1825444,327,18
1303754441717092213,Loft equipado frente a la Condesa,Miguel Hidalgo,Entire home/apt,1395.0,1.0,28,4.89,19.40671,-99.18254,263,18
1314779563246588639,Departamento clásico en la Roma,Cuauhtémoc,Entire home/apt,1712.0,2.0,50,4.88,19.41748,-99.16137,238,1
1314794276531649366,Walk Plaza Carso Museo Jumex Acuario Inbursa Mall,Miguel Hidalgo,Entire home/apt,3997.0,1.0,2,5.0,19.4417791,-99.2018036,19,3
1315259670594673906,Habitación c/baño externo privado Centro Coyoacán,Coyoacán,Private room,1388.0,1.0,5,4.8,19.34897150221356,-99.1673965825606,230,7
1315320728654873186,Vive Centro Histórico CDMX,Cuauhtémoc,Entire home/apt,1175.53,1.0,23,4.78,19.4354943,-99.1288507,90,22
1315340723792170364,Pequeña habitación independiente,Azcapotzalco,Private room,438.0,1.0,92,4.92,19.46967,-99.18457,345,5
1315422003281295490,Casa Nova • Chic & Walkable Roma Norte Stay,Cuauhtémoc,Entire home/apt,1917.5,2.0,38,4.84,19.41739,-99.16302,262,1
1315430280278768685,El Alfonsa - Junior Suite,Cuauhtémoc,Entire home/apt,3292.0,1.0,5,5.0,19.4091796,-99.1772637,334,21
